@relation School-levels

@attribute CohesiveComplexityFeature:MendesAllConnectivesperToken numeric
@attribute CohesiveComplexityFeature:MendesCausalConnectivesperToken numeric
@attribute CohesiveComplexityFeature:MendesConcessiveConnectivesperToken numeric
@attribute LexicalRichness:TypeTokenRatio(CorrectedTTR) numeric
@attribute LexicalRichness:TypeTokenRatio(TTR) numeric
@attribute LexicalSophisticationFeature:AgeofAcquisition(AWToken) numeric
@attribute LexicalSophisticationFeature:Concreteness(AWType) numeric
@attribute LexicalSophisticationFeature:Familiarity(AWType) numeric
@attribute LexicalSophisticationFeature:Imageability(AWToken) numeric
@attribute LexicalSophisticationFeature:SUBTLEXContextualDiversity(AWType) numeric
@attribute LexicalSophisticationFeature:SUBTLEXFrequencyBand1 numeric
@attribute LexicalSophisticationFeature:SUBTLEXFrequencyBand4 numeric
@attribute LexicalSophisticationFeature:SUBTLEXFrequencyBand7 numeric
@attribute LexicalSophisticationFeature:SUBTLEXWordFrequencyperMillion(AWType) numeric
@attribute LexicalVariationFeature:CorrectedVerbVariation1 numeric
@attribute LexicalVariationFeature:Lexical numeric
@attribute MeanSentenceLengthinTokens numeric
@attribute MeanTokenLengthinSyllables numeric
@attribute MorphologicalComplexityInflectionFeature:PastParticipleVerbDensity numeric
@attribute MorphologicalComplexityInflectionFeature:Pasttenseperverbtoken numeric
@attribute MorphologicalComplexityInflectionFeature:Subjunctivesperwordtoken numeric
@attribute NumberofCliticFeatureperVP-All numeric
@attribute NumberofMorphologicalFeatures:ConditionalVerbperVP numeric
@attribute NumberofMorphologicalFeatures:ImperfectVerbperVP numeric
@attribute NumberofMorphologicalFeatures:InflectedInfinitiveVerbperVP numeric
@attribute NumberofMorphologicalFeatures:PluperfectVerbperVP numeric
@attribute NumberofMorphologicalFeatures:PreteriteVerbperVP numeric
@attribute NumberofMorphologicalFeatures:SubjunctiveVerbperVP numeric
@attribute NumberofPOSFeature:AdjectiveTokens numeric
@attribute NumberofPOSFeature:AdjectiveandAdverbTokens numeric
@attribute NumberofPOSFeature:NounTokens numeric
@attribute NumberofPOSFeature:VerbTokens(includingModals) numeric
@attribute NumberofSentences numeric
@attribute NumberofSyntacticConstituents:PassiveSentences numeric
@attribute NumberofTokens numeric
@attribute NumberofTokenswithMoreThan2Syllables numeric
@attribute ReferentialCohesion:GlobalLexicalOverlap(lemma-based) numeric
@attribute ReferentialCohesion:MeanGlobalArgumentOverlap(lemma-based) numeric
@attribute SyntacticComplexityFeature:ComplexNominalsperClause numeric
@attribute SyntacticComplexityFeature:ComplexNominalsperSentence numeric
@attribute SyntacticComplexityFeature:CoordinatePhrasesperSentence numeric
@attribute SyntacticComplexityFeature:Dependentclauseratio numeric
@attribute SyntacticComplexityFeature:MeanLengthofClause numeric
@attribute SyntacticComplexityFeature:NounPhrasesperSentence numeric
@attribute SyntacticComplexityFeature:PostnominalModifierperComplexNounPhrase numeric
@attribute SyntacticComplexityFeature:PrepositionalPhrasesperSentence numeric
@attribute SyntacticComplexityFeature:RelativeClausesperSentence numeric
@attribute SyntacticComplexityFeature:SentenceComplexityRatio numeric
@attribute SyntacticComplexityFeature:SentenceCoordinationRatio numeric
@attribute SyntacticComplexityFeature:VerbClusterperSentence numeric
@attribute Level numeric

@data
0.098484848484849,0.012626262626263,0,7.99502686333539,0.568181818181818,4.22229166666667,3.76739130434783,2.524,4.12089285714286,3100.69483568075,0.015151515151515,0.176767676767677,0.277777777777778,1655.01766197183,4.93914580573631,0.80672268907563,18,2.25757575757576,0.017676767676768,0,0.007575757575758,0,0,0,0.021276595744681,0,0,0.063829787234043,24,49,116,73,22,3,396,246,0.954545454545455,0.00947285348075,0.6,1.36363636363636,0.409090909090909,0.24,7.92,4.54545454545455,0,2.04545454545455,0.545454545454545,2.27272727272727,2.13636363636364,0.590909090909091,1
0.113149847094801,0.018348623853211,0.003058103975535,6.68662913389938,0.522935779816514,3.76108695652174,4.54925,1.92090909090909,4.7832,3824.29761904762,0,0.165137614678899,0.296636085626911,2024.75997857143,4.0508136107566,0.777142857142857,16.35,2.04587155963303,0.018348623853211,0.054545454545455,0.00611620795107,0,0.027027027027027,0,0,0,0,0.054054054054054,18,35,85,55,20,4,327,184,1.7,0.012923857595521,0.80952380952381,1.7,0.5,0.380952380952381,7.78571428571429,4.35,0,2.35,0.8,2.1,1.85,0.3,1
0.095384615384615,0.006153846153846,0,7.64852927038918,0.6,3.26891891891892,4.68636363636364,1.87727272727273,4.80225,3794.30769230769,0.015384615384615,0.129230769230769,0.230769230769231,2105.74785325444,4.06866735603368,0.855555555555556,15.4761904761905,1.95384615384615,0.012307692307692,0.08,0.006153846153846,0,0.025641025641026,0.153846153846154,0,0,0.153846153846154,0.051282051282051,25,50,80,50,21,1,325,180,0.476190476190476,0.006685906685907,0.613636363636364,1.28571428571429,0.19047619047619,0.227272727272727,7.38636363636364,4.04761904761905,0,1.76190476190476,0.476190476190476,2.0952380952381,1.85714285714286,0.285714285714286,1
0.105919003115265,0.009345794392523,0,7.06456648977653,0.557632398753894,3.67612903225806,4.06774193548387,2.226,4.17542857142857,3869.60479041916,0.003115264797508,0.161993769470405,0.26791277258567,2132.66455988024,4.2485291572496,0.785310734463277,16.8947368421053,2.08411214953271,0.024922118380062,0.275862068965517,0.003115264797508,0,0,0.204545454545455,0,0,0.204545454545455,0.022727272727273,14,42,77,58,19,5,321,183,1.89473684210526,0.014770829850307,0.541666666666667,1.44444444444444,0.388888888888889,0.3125,6.6875,5,0,1.72222222222222,0.833333333333333,2.66666666666667,2.44444444444444,0.277777777777778,1
0.127777777777778,0.005555555555556,0,6.96907852987434,0.519444444444444,3.61676470588235,4.18307692307692,2.04142857142857,4.35875,4039.7397260274,0.011111111111111,0.130555555555556,0.247222222222222,2324.45445410959,4.41726104299386,0.760416666666667,15.6521739130435,1.79444444444444,0.005555555555556,0.333333333333333,0,0,0,0.13953488372093,0,0,0.13953488372093,0,18,41,97,54,23,1,360,173,0.869565217391304,0.017992042275869,0.822222222222222,1.60869565217391,0.391304347826087,0.111111111111111,8,3.26086956521739,0,2.26086956521739,0.217391304347826,1.95652173913043,1.91304347826087,0.217391304347826,1
0.090909090909091,0.006060606060606,0,7.20111523349409,0.560606060606061,3.52258064516129,4.80727272727273,2.01142857142857,4.68605263157895,3448.82467532467,0.003030303030303,0.157575757575758,0.254545454545455,2189.85652077922,4.01477534273483,0.810810810810811,15.7142857142857,1.85757575757576,0.015151515151515,0.204081632653061,0.003030303030303,0,0,0.05,0,0,0.05,0.025,18,37,99,49,21,1,330,180,0.857142857142857,0.008816377162242,0.666666666666667,1.47368421052632,0.315789473684211,0.261904761904762,7.85714285714286,4.26315789473684,0,2.21052631578947,0.578947368421053,2.21052631578947,2.10526315789474,0.315789473684211,1
0.094285714285714,0.008571428571429,0,7.37030722367993,0.557142857142857,4.11888888888889,4.103,2.135,4.35804347826087,3715.21428571429,0,0.168571428571429,0.291428571428571,2154.9395202381,4.36435780471985,0.838541666666667,18.4210526315789,2.06857142857143,0.031428571428571,0.12280701754386,0.002857142857143,0,0,0.131578947368421,0,0,0.131578947368421,0.026315789473684,21,38,97,57,19,4,350,187,1.52631578947368,0.015639562892564,0.931818181818182,2.15789473684211,0.473684210526316,0.227272727272727,7.95454545454545,4.52631578947368,0,1.89473684210526,0.526315789473684,2.31578947368421,2,0.315789473684211,1
0.086309523809524,0.005952380952381,0,7.29083328570884,0.5625,3.42692307692308,4.45,1.838,4.66567567567568,3430.42682926829,0.008928571428571,0.154761904761905,0.261904761904762,2011.36578780488,4.36033255612459,0.847457627118644,22.4,1.94642857142857,0.023809523809524,0.061224489795918,0,0,0,0.2,0,0,0.2,0,15,34,94,49,15,4,336,181,1.26666666666667,0.017299267394358,0.522727272727273,1.64285714285714,0.428571428571429,0.181818181818182,7.63636363636364,6.64285714285714,0,2.85714285714286,0.571428571428571,3.14285714285714,2.85714285714286,0.5,1
0.108991825613079,0.008174386920981,0,7.16067066409795,0.528610354223433,3.1026,4.76386363636364,1.60125,5.13642857142857,3658.8202247191,0,0.14441416893733,0.305177111716621,2075.81344719101,4.47721504346782,0.779487179487179,19.3157894736842,1.83378746594005,0.019073569482289,0.047619047619048,0.013623978201635,0,0.044444444444444,0.355555555555556,0.022222222222222,0,0.355555555555556,0.111111111111111,18,46,86,63,19,4,367,195,1.78947368421053,0.023967119529555,0.568627450980392,1.52631578947368,0.473684210526316,0.294117647058824,7.19607843137255,5.31578947368421,0,2.57894736842105,0.789473684210526,2.68421052631579,2.36842105263158,0.526315789473684,1
0.10233918128655,0.005847953216374,0,6.30893268144045,0.482456140350877,3.72047619047619,4.82181818181818,1.95875,4.91816666666667,3756.78616352201,0.005847953216374,0.160818713450292,0.298245614035088,2348.14067610063,3.3407655239053,0.760479041916168,15.5454545454545,1.83333333333333,0.008771929824561,0,0.008771929824561,0,0.025,0.05,0,0,0.05,0.075,21,38,86,43,22,2,342,173,1.04545454545455,0.012457783848158,0.875,1.59090909090909,0.318181818181818,0.275,8.55,4.77272727272727,0,2.04545454545455,0.5,1.81818181818182,1.81818181818182,0.181818181818182,1
0.110497237569061,0.013812154696133,0,6.42949436503799,0.477900552486188,3.0528,4.65459459459459,2.14714285714286,4.77396226415094,3371.95209580838,0.011049723756906,0.179558011049724,0.276243093922652,2127.17424610778,3.67065174192899,0.724489795918367,17.2380952380952,1.80662983425414,0.00828729281768,0,0.002762430939227,0,0,0,0,0,0,0.023809523809524,26,55,90,51,21,1,362,188,1.28571428571429,0.010994058851202,0.695652173913043,1.52380952380952,0.428571428571429,0.217391304347826,7.8695652173913,4.80952380952381,0,2.0952380952381,0.476190476190476,2.19047619047619,2,0.142857142857143,1
0.080789946140036,0.001795332136445,0,8.68871200682371,0.52064631956912,3.9434375,4.47,2.00357142857143,4.59783505154639,3177.38823529412,0.007181328545781,0.18491921005386,0.301615798922801,1387.67501254902,5.61514476627884,0.802588996763754,16.8787878787879,1.99820466786355,0.007181328545781,0.402439024390244,0.00359066427289,0,0.029850746268657,0.373134328358209,0,0,0.373134328358209,0.029850746268657,38,62,165,82,33,1,557,317,1.03030303030303,0.010951004589126,0.684931506849315,1.61290322580645,0.32258064516129,0.315068493150685,7.63013698630137,4.45161290322581,0,2.32258064516129,0.741935483870968,2.35483870967742,2.16129032258065,0.225806451612903,1
0.127167630057803,0,0,6.80455899536386,0.517341040462428,3.7843137254902,4.36674418604651,2.18333333333333,4.79333333333333,3739.68072289157,0.008670520231214,0.173410404624277,0.335260115606936,2204.4741373494,4.59279326771846,0.755208333333333,15.7272727272727,1.98843930635838,0.017341040462428,0.030769230769231,0,0,0,0,0.021276595744681,0,0,0,20,40,87,65,22,3,346,197,1.40909090909091,0.013465698492437,0.509803921568627,1.23809523809524,0.095238095238095,0.333333333333333,6.7843137254902,5,0,1.47619047619048,0.80952380952381,2.42857142857143,2.23809523809524,0.333333333333333,1
0.083333333333333,0,0,7.69469514232587,0.583333333333333,3.7190625,4.52228571428571,2.045,4.69428571428571,3836.9125,0.002873563218391,0.123563218390805,0.25,2148.78923625,4.09764538173066,0.821621621621622,15.8181818181818,1.82758620689655,0.008620689655172,0.361702127659574,0.005747126436782,0,0,0.1,0,0,0.1,0.05,18,35,103,47,22,0,348,179,0.818181818181818,0.016914313228293,0.711111111111111,1.45454545454545,0.318181818181818,0.222222222222222,7.73333333333333,4.13636363636364,0,2.18181818181818,0.454545454545455,2.04545454545455,1.81818181818182,0.181818181818182,1
